food_id,food_name,slug,category,image_path,image_alt,recommended_for_supplements,nutrient_tags,synergy_reason,avoid_or_caution,allergen_tags,diet_tags,association_rule_items,is_active,source_note
FOOD_011,Spinach,spinach,Vegetables,/media/foods/vegetables/spinach.webp,Spinach food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Magnesium, Multivitamin","iron, folate, magnesium, vitamin_k",Plant iron source that pairs well with vitamin C foods to support absorption.,Check anticoagulant-related caution because it is vitamin K rich.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_SPINACH|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MAGNESIUM,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_012,Broccoli,broccoli,Vegetables,/media/foods/vegetables/broccoli.webp,Broccoli food image for I-NutriGuide recommendation card,"Vitamin C, Calcium, Multivitamin","vitamin_c, vitamin_k, fiber, calcium",Provides vitamin C and plant nutrients for balanced recommendations.,Check preference and digestive tolerance.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BROCCOLI|SUPP_VITAMIN_C|SUPP_CALCIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_013,Bell Pepper,bell_pepper,Vegetables,/media/foods/vegetables/bell_pepper.webp,Bell Pepper food image for I-NutriGuide recommendation card,"Iron, Vitamin C, Multivitamin","vitamin_c, antioxidants",High vitamin C vegetable that pairs well with legumes and iron-rich foods.,Avoid if nightshade intolerance is declared.,nightshade,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BELL_PEPPER|SUPP_IRON|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_014,Carrot,carrot,Vegetables,/media/foods/vegetables/carrot.webp,Carrot food image for I-NutriGuide recommendation card,"Multivitamin, Vitamin A","beta_carotene, fiber",Useful in general healthy meals and micronutrient diversity.,No major general caution except declared allergy.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_CARROT|SUPP_MULTIVITAMIN|SUPP_VITAMIN_A,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_015,Tomato,tomato,Vegetables,/media/foods/vegetables/tomato.webp,Tomato food image for I-NutriGuide recommendation card,"Vitamin C, Multivitamin","vitamin_c, lycopene, potassium",Adds vitamin C and antioxidants to meals.,Avoid if nightshade intolerance or reflux trigger is declared.,nightshade,"vegan, vegetarian, gluten_free, dairy_free",FOOD_TOMATO|SUPP_VITAMIN_C|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_016,Kale,kale,Vegetables,/media/foods/vegetables/kale.webp,Kale food image for I-NutriGuide recommendation card,"Calcium, Iron, Vitamin C, Multivitamin","calcium, iron, vitamin_c, vitamin_k",Combines plant calcium and vitamin C in one food profile.,Check anticoagulant-related caution because it is vitamin K rich.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_KALE|SUPP_CALCIUM|SUPP_IRON|SUPP_VITAMIN_C,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_017,Sweet Potato,sweet_potato,Vegetables,/media/foods/vegetables/sweet_potato.webp,Sweet Potato food image for I-NutriGuide recommendation card,"Multivitamin, Vitamin A","beta_carotene, carbohydrates, fiber",Good option for energy and balanced carbohydrate needs.,Limit if low-carbohydrate plan is selected.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_SWEET_POTATO|SUPP_MULTIVITAMIN|SUPP_VITAMIN_A,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_018,Beetroot,beetroot,Vegetables,/media/foods/vegetables/beetroot.webp,Beetroot food image for I-NutriGuide recommendation card,"Iron, Multivitamin","folate, nitrates, fiber",Useful in endurance and general health meal patterns.,Check preference and kidney stone-related dietary constraints if declared.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BEETROOT|SUPP_IRON|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_019,Parsley,parsley,Vegetables,/media/foods/vegetables/parsley.webp,Parsley food image for I-NutriGuide recommendation card,"Iron, Vitamin C","vitamin_c, vitamin_k",Adds vitamin C and micronutrients to iron-rich meals in small amounts.,Check anticoagulant-related caution because it is vitamin K rich.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_PARSLEY|SUPP_IRON|SUPP_VITAMIN_C,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_020,Salmon,salmon,Proteins,/media/foods/proteins/salmon.webp,Salmon food image for I-NutriGuide recommendation card,"Vitamin D, Omega-3, Protein, Multivitamin","omega_3, vitamin_d, protein",Fatty fish supports vitamin D and omega-3 related recommendations.,Avoid for fish allergy. Check mercury-sensitive profiles if needed.,fish,"gluten_free, dairy_free",FOOD_SALMON|SUPP_VITAMIN_D|SUPP_OMEGA_3|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_021,Sardines,sardines,Proteins,/media/foods/proteins/sardines.webp,Sardines food image for I-NutriGuide recommendation card,"Calcium, Vitamin D, Omega-3, Protein","omega_3, calcium, vitamin_d, protein","Useful for bone and heart support patterns because it combines omega-3, vitamin D, and calcium.",Avoid for fish allergy. Check sodium limit if canned.,fish,"gluten_free, dairy_free",FOOD_SARDINES|SUPP_CALCIUM|SUPP_VITAMIN_D|SUPP_OMEGA_3,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_022,Tuna,tuna,Proteins,/media/foods/proteins/tuna.webp,Tuna food image for I-NutriGuide recommendation card,"Protein, Omega-3, Vitamin D","protein, omega_3, vitamin_d",Lean protein option with omega-3 support.,Avoid for fish allergy. Limit frequency for mercury-sensitive profiles.,fish,"gluten_free, dairy_free",FOOD_TUNA|SUPP_PROTEIN|SUPP_OMEGA_3|SUPP_VITAMIN_D,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_023,Chicken Breast,chicken_breast,Proteins,/media/foods/proteins/chicken_breast.webp,Chicken Breast food image for I-NutriGuide recommendation card,"Protein, Zinc, Multivitamin","protein, niacin, selenium",Useful for muscle gain and high-protein meal recommendations.,Avoid if user excludes poultry.,poultry,"gluten_free, dairy_free",FOOD_CHICKEN_BREAST|SUPP_PROTEIN|SUPP_ZINC|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_024,Turkey,turkey,Proteins,/media/foods/proteins/turkey.webp,Turkey food image for I-NutriGuide recommendation card,"Protein, Zinc, Multivitamin","protein, zinc, selenium",Lean protein choice for weight management and protein goals.,Avoid if user excludes poultry.,poultry,"gluten_free, dairy_free",FOOD_TURKEY|SUPP_PROTEIN|SUPP_ZINC|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_025,Eggs,eggs,Proteins,/media/foods/proteins/eggs.webp,Eggs food image for I-NutriGuide recommendation card,"Vitamin D, Protein, Vitamin B12, Multivitamin","protein, vitamin_d, choline, b12","Supports vitamin D, protein, and general micronutrient recommendations.",Avoid for egg allergy.,egg,"vegetarian, gluten_free, dairy_free",FOOD_EGGS|SUPP_VITAMIN_D|SUPP_PROTEIN|SUPP_VITAMIN_B12,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_026,Lean Beef,lean_beef,Proteins,/media/foods/proteins/lean_beef.webp,Lean Beef food image for I-NutriGuide recommendation card,"Iron, Zinc, Protein, Vitamin B12","heme_iron, zinc, protein, b12",Heme iron and zinc source for iron and protein-focused recommendations.,Limit for users with red meat restrictions or specific cardiovascular guidance.,red_meat,"gluten_free, dairy_free",FOOD_LEAN_BEEF|SUPP_IRON|SUPP_ZINC|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_027,Shrimp,shrimp,Proteins,/media/foods/proteins/shrimp.webp,Shrimp food image for I-NutriGuide recommendation card,"Protein, Zinc, Vitamin B12","protein, zinc, b12",Lean seafood option for protein and zinc recommendations.,Avoid for shellfish allergy.,shellfish,"gluten_free, dairy_free",FOOD_SHRIMP|SUPP_PROTEIN|SUPP_ZINC|SUPP_VITAMIN_B12,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_028,Lentils,lentils,Legumes,/media/foods/legumes/lentils.webp,Lentils food image for I-NutriGuide recommendation card,"Iron, Magnesium, Zinc, Protein","non_heme_iron, fiber, protein, folate",Plant iron source that pairs well with vitamin C foods such as orange or lemon.,Check digestive tolerance for legumes.,legume,"vegan, vegetarian, gluten_free, dairy_free",FOOD_LENTILS|SUPP_IRON|SUPP_MAGNESIUM|SUPP_ZINC,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_029,Chickpeas,chickpeas,Legumes,/media/foods/legumes/chickpeas.webp,Chickpeas food image for I-NutriGuide recommendation card,"Iron, Magnesium, Zinc, Protein","fiber, protein, iron, magnesium",Supports plant-protein meals and pairs well with vitamin C vegetables.,Check digestive tolerance for legumes.,legume,"vegan, vegetarian, gluten_free, dairy_free",FOOD_CHICKPEAS|SUPP_IRON|SUPP_MAGNESIUM|SUPP_ZINC,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_030,Black Beans,black_beans,Legumes,/media/foods/legumes/black_beans.webp,Black Beans food image for I-NutriGuide recommendation card,"Iron, Magnesium, Protein","fiber, protein, iron, magnesium",Plant protein and mineral source for balanced recommendations.,Check digestive tolerance for legumes.,legume,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BLACK_BEANS|SUPP_IRON|SUPP_MAGNESIUM|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_031,Green Peas,green_peas,Legumes,/media/foods/legumes/green_peas.webp,Green Peas food image for I-NutriGuide recommendation card,"Protein, Iron, Multivitamin","protein, fiber, iron",Useful plant protein option in simple meals.,Check digestive tolerance for legumes.,legume,"vegan, vegetarian, gluten_free, dairy_free",FOOD_GREEN_PEAS|SUPP_PROTEIN|SUPP_IRON|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_032,Tofu,tofu,Legumes,/media/foods/legumes/tofu.webp,Tofu food image for I-NutriGuide recommendation card,"Protein, Calcium, Iron","protein, calcium, iron",Useful for vegetarian protein and calcium support when fortified or calcium-set.,Avoid for soy allergy.,soy,"vegan, vegetarian, gluten_free, dairy_free",FOOD_TOFU|SUPP_PROTEIN|SUPP_CALCIUM|SUPP_IRON,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_033,Oats,oats,Grains,/media/foods/grains/oats.webp,Oats food image for I-NutriGuide recommendation card,"Magnesium, Zinc, Multivitamin","fiber, magnesium, carbohydrates",Supports energy and fiber goals in breakfast recommendations.,Avoid for gluten sensitivity unless certified gluten-free.,gluten_possible,"vegan, vegetarian, dairy_free",FOOD_OATS|SUPP_MAGNESIUM|SUPP_ZINC|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_034,Brown Rice,brown_rice,Grains,/media/foods/grains/brown_rice.webp,Brown Rice food image for I-NutriGuide recommendation card,"Magnesium, Multivitamin","carbohydrates, magnesium, fiber",Good base food for energy-focused and balanced meal plans.,Limit if low-carbohydrate plan is selected.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BROWN_RICE|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_035,Quinoa,quinoa,Grains,/media/foods/grains/quinoa.webp,Quinoa food image for I-NutriGuide recommendation card,"Magnesium, Iron, Protein","protein, magnesium, iron, fiber",Useful as a plant-based protein and mineral-rich grain option.,No major general caution except declared intolerance.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_QUINOA|SUPP_MAGNESIUM|SUPP_IRON|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_036,Whole Wheat Bread,whole_wheat_bread,Grains,/media/foods/grains/whole_wheat_bread.webp,Whole Wheat Bread food image for I-NutriGuide recommendation card,"Multivitamin, Magnesium","carbohydrates, fiber, b_vitamins",Practical carbohydrate source for balanced meals.,Avoid for gluten allergy or celiac disease.,gluten,"vegan, vegetarian, dairy_free",FOOD_WHOLE_WHEAT_BREAD|SUPP_MULTIVITAMIN|SUPP_MAGNESIUM,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_037,Buckwheat,buckwheat,Grains,/media/foods/grains/buckwheat.webp,Buckwheat food image for I-NutriGuide recommendation card,"Magnesium, Multivitamin","magnesium, fiber, carbohydrates",Useful gluten-free grain alternative for mineral support.,No major general caution except declared intolerance.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_BUCKWHEAT|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_038,Barley,barley,Grains,/media/foods/grains/barley.webp,Barley food image for I-NutriGuide recommendation card,"Magnesium, Multivitamin","fiber, carbohydrates, minerals",Fiber-rich grain option for balanced meal plans.,Avoid for gluten allergy or celiac disease.,gluten,"vegan, vegetarian, dairy_free",FOOD_BARLEY|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_039,Yogurt,yogurt,Dairy,/media/foods/dairy/yogurt.webp,Yogurt food image for I-NutriGuide recommendation card,"Calcium, Vitamin D, Probiotic, Protein","calcium, protein, probiotics","Supports calcium and gut-health recommendations, especially when fortified.",Avoid for lactose intolerance or dairy allergy unless lactose-free.,dairy,"vegetarian, gluten_free",FOOD_YOGURT|SUPP_CALCIUM|SUPP_VITAMIN_D|SUPP_PROBIOTIC,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_040,Milk,milk,Dairy,/media/foods/dairy/milk.webp,Milk food image for I-NutriGuide recommendation card,"Calcium, Vitamin D, Protein","calcium, protein, vitamin_d",Common calcium source and often paired with vitamin D support.,Avoid for lactose intolerance or dairy allergy unless lactose-free.,dairy,"vegetarian, gluten_free",FOOD_MILK|SUPP_CALCIUM|SUPP_VITAMIN_D|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_041,Cheese,cheese,Dairy,/media/foods/dairy/cheese.webp,Cheese food image for I-NutriGuide recommendation card,"Calcium, Protein","calcium, protein, fat",Useful calcium source in small portions.,Avoid for dairy allergy. Limit if sodium or saturated fat restriction applies.,dairy,"vegetarian, gluten_free",FOOD_CHEESE|SUPP_CALCIUM|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_042,Kefir,kefir,Dairy,/media/foods/dairy/kefir.webp,Kefir food image for I-NutriGuide recommendation card,"Probiotic, Calcium, Protein","probiotics, calcium, protein",Supports gut-health and calcium recommendations.,Avoid for lactose intolerance or dairy allergy unless lactose-free.,dairy,"vegetarian, gluten_free",FOOD_KEFIR|SUPP_PROBIOTIC|SUPP_CALCIUM|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_043,Fortified Plant Milk,fortified_plant_milk,Dairy Alternatives,/media/foods/dairy_alternatives/fortified_plant_milk.webp,Fortified Plant Milk food image for I-NutriGuide recommendation card,"Calcium, Vitamin D, Vitamin B12","calcium, vitamin_d, b12","Good alternative when dairy is avoided, especially if fortified.",Check ingredient label and avoid if nut or soy allergy applies.,varies,"vegan, vegetarian, gluten_free, dairy_free",FOOD_FORTIFIED_PLANT_MILK|SUPP_CALCIUM|SUPP_VITAMIN_D|SUPP_VITAMIN_B12,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_044,Avocado,avocado,Healthy Fats,/media/foods/healthy_fats/avocado.webp,Avocado food image for I-NutriGuide recommendation card,"Vitamin D, Omega-3, Multivitamin","healthy_fats, fiber, potassium",Healthy fat source that supports fat-soluble vitamin meal context.,Limit portion for low-calorie plans.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_AVOCADO|SUPP_VITAMIN_D|SUPP_OMEGA_3|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_045,Olive Oil,olive_oil,Healthy Fats,/media/foods/healthy_fats/olive_oil.webp,Olive Oil food image for I-NutriGuide recommendation card,"Vitamin D, Omega-3, Multivitamin","monounsaturated_fat, vitamin_e",Healthy fat source useful with fat-soluble vitamins such as vitamin D.,Use controlled portions because it is energy dense.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_OLIVE_OIL|SUPP_VITAMIN_D|SUPP_OMEGA_3|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_046,Almonds,almonds,Nuts and Seeds,/media/foods/nuts_and_seeds/almonds.webp,Almonds food image for I-NutriGuide recommendation card,"Magnesium, Calcium, Vitamin E, Multivitamin","magnesium, vitamin_e, healthy_fats",Supports magnesium and healthy-fat recommendations.,Avoid for nut allergy.,tree_nut,"vegan, vegetarian, gluten_free, dairy_free",FOOD_ALMONDS|SUPP_MAGNESIUM|SUPP_CALCIUM|SUPP_VITAMIN_E,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_047,Walnuts,walnuts,Nuts and Seeds,/media/foods/nuts_and_seeds/walnuts.webp,Walnuts food image for I-NutriGuide recommendation card,"Omega-3, Magnesium, Multivitamin","ala_omega_3, magnesium, healthy_fats",Plant omega-3 option for heart-focused meals.,Avoid for nut allergy.,tree_nut,"vegan, vegetarian, gluten_free, dairy_free",FOOD_WALNUTS|SUPP_OMEGA_3|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_048,Chia Seeds,chia_seeds,Nuts and Seeds,/media/foods/nuts_and_seeds/chia_seeds.webp,Chia Seeds food image for I-NutriGuide recommendation card,"Omega-3, Calcium, Magnesium","ala_omega_3, fiber, calcium, magnesium",Useful seed option for omega-3 and mineral support.,Check swallowing and digestive tolerance if used dry.,seed,"vegan, vegetarian, gluten_free, dairy_free",FOOD_CHIA_SEEDS|SUPP_OMEGA_3|SUPP_CALCIUM|SUPP_MAGNESIUM,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_049,Flax Seeds,flax_seeds,Nuts and Seeds,/media/foods/nuts_and_seeds/flax_seeds.webp,Flax Seeds food image for I-NutriGuide recommendation card,"Omega-3, Magnesium","ala_omega_3, fiber, magnesium",Plant omega-3 and fiber source for breakfast recommendations.,Use ground flax for better practical intake.,seed,"vegan, vegetarian, gluten_free, dairy_free",FOOD_FLAX_SEEDS|SUPP_OMEGA_3|SUPP_MAGNESIUM,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_050,Pumpkin Seeds,pumpkin_seeds,Nuts and Seeds,/media/foods/nuts_and_seeds/pumpkin_seeds.webp,Pumpkin Seeds food image for I-NutriGuide recommendation card,"Zinc, Magnesium, Protein","zinc, magnesium, protein",Useful for zinc and magnesium-focused recommendations.,Avoid for seed allergy.,seed,"vegan, vegetarian, gluten_free, dairy_free",FOOD_PUMPKIN_SEEDS|SUPP_ZINC|SUPP_MAGNESIUM|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_051,Peanut Butter,peanut_butter,Nuts and Seeds,/media/foods/nuts_and_seeds/peanut_butter.webp,Peanut Butter food image for I-NutriGuide recommendation card,"Protein, Magnesium, Multivitamin","protein, healthy_fats, magnesium",Energy-dense protein and fat option for weight gain or active users.,Avoid for peanut allergy. Limit portion for weight loss.,peanut,"vegan, vegetarian, gluten_free, dairy_free",FOOD_PEANUT_BUTTER|SUPP_PROTEIN|SUPP_MAGNESIUM|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_052,Sauerkraut,sauerkraut,Fermented Foods,/media/foods/fermented_foods/sauerkraut.webp,Sauerkraut food image for I-NutriGuide recommendation card,"Probiotic, Multivitamin","probiotics, fiber",Fermented food option for gut-health recommendations.,Check sodium restriction and preference.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_SAUERKRAUT|SUPP_PROBIOTIC|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_053,Kimchi,kimchi,Fermented Foods,/media/foods/fermented_foods/kimchi.webp,Kimchi food image for I-NutriGuide recommendation card,"Probiotic, Multivitamin","probiotics, fiber",Fermented vegetable option for gut-health recommendations.,Check sodium restriction and spicy-food tolerance.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_KIMCHI|SUPP_PROBIOTIC|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_054,Mushrooms,mushrooms,Vegetables,/media/foods/vegetables/mushrooms.webp,Mushrooms food image for I-NutriGuide recommendation card,"Vitamin D, Multivitamin","vitamin_d_possible, fiber, minerals","Useful vegetable option, especially when vitamin D enriched.",Check mushroom allergy or intolerance.,none,"vegan, vegetarian, gluten_free, dairy_free",FOOD_MUSHROOMS|SUPP_VITAMIN_D|SUPP_MULTIVITAMIN,true,Nutrition values should be validated through USDA FoodData Central before production use
FOOD_055,Red Meat,red_meat,Proteins,/media/foods/proteins/red_meat.webp,Red Meat food image for I-NutriGuide recommendation card,"Iron, Zinc, Protein, Vitamin B12","heme_iron, zinc, protein, b12",Strong source of heme iron and zinc for deficiency-oriented recommendations.,Limit for users with red meat restrictions or cardiovascular concerns.,red_meat,"gluten_free, dairy_free",FOOD_RED_MEAT|SUPP_IRON|SUPP_ZINC|SUPP_PROTEIN,true,Nutrition values should be validated through USDA FoodData Central before production use
